planet_name,host_star_name,orbital_period_day,orbit_semi_major_axis_au,planet_rad_earth_rad,planet_rad_jup_rad,planet_mass_earth_mass,planet_mass_jup_mass,Eccentricity,planet_equil_temp_k,spectral_type,stellar_effective_temp_k,stellar_rad_solar_rad,stellar_mass_solar_mass,distance_parsec,stellar_surf_grav,declination_deg,discovery_method
Kepler-1491 b,Kepler-1491,16.58609545,0.1276,1.689833333,0.173,,,0,726.5,,5714.2075,1.2475,0.997142857,2065.59,4.311428571,45.7406293,Transit
Kepler-1491 c,Kepler-1491,61.56941074,0.305766667,2.2015,0.279,,,0,476,,5712.066,1.25,0.996,2065.59,4.27,45.7406293,Transit
Kepler-1492 b,Kepler-1492,16.75251352,0.1262,2.911666667,0.1225,,,0,801,,4701.555556,1.175555556,0.8375,331.553,4.265,41.0363254,Transit
Kepler-1493 b,Kepler-1493,15.02185102,0.109875,1.14,0.126,,,0,726.25,,5719.617143,1.014,0.84,555.051,4.374,38.5651973,Transit
Kepler-1494 b,Kepler-1494,91.07995605,0.3982,3.3435,0.3025,,,0,415,,5802,1.061111111,1.00375,1285.48,4.40375,43.1625334,Transit
Kepler-1495 b,Kepler-1495,85.27314245,0.3677,3.164,0.262,,,0,443,,5903.8,1.056,0.934,1355.54,4.364,38.7795494,Transit
Kepler-1496 b,Kepler-1496,64.65879288,0.3244,1.963333333,0.1915,,,0,499,,5990.564444,1.254444444,1.085,1307.66,4.29,45.3507167,Transit
Kepler-1497 b,Kepler-1497,8.741970086,0.082825,1.734,0.148,,,0,904.5,,5781,1.02,0.982,,4.418,45.6343124,Transit
Kepler-1498 b,Kepler-1498,48.05154731,0.2456,1.614,0.119,,,0,480,,5333,0.986,0.856,,4.404,44.9167513,Transit
Kepler-1499 b,Kepler-1499,44.20165573,0.2196,1.181166667,0.106,,,0,409,,4995.463333,0.773333333,0.76625,309.869,4.545,41.6505091,Transit
Kepler-15 b,Kepler-15,4.94278298,0.05738625,11.5196,1.076,210.71869,0.663,0.018285714,1063.333333,,5570.676154,1.112307692,1.02,739.412,4.363636364,49.1400304,Transit
Kepler-150 b,Kepler-150,3.428058414,0.043833333,1.278875,0.110333333,,,0,1178,,5679.3,0.919,0.95375,891.092,4.485555556,40.520897,Transit
Kepler-150 c,Kepler-150,7.381980952,0.072933333,3.597625,0.314,,,0,913.4,,5665.545455,0.918181818,0.955555556,891.092,4.488,40.520897,Transit
Kepler-150 d,Kepler-150,12.56094442,0.1041,2.810875,0.244,,,0,764.4,,5665.545455,0.918181818,0.955555556,891.092,4.488,40.520897,Transit
Kepler-150 e,Kepler-150,30.82636346,0.1894,2.961625,0.269333333,,,0,566.4,,5665.545455,0.918181818,0.955555556,891.092,4.488,40.520897,Transit
Kepler-150 f,Kepler-150,637.2093,1.24,3.64,0.325,,,,,,5528,0.91,0.97,891.092,4.51,40.520897,Transit
Kepler-1500 b,Kepler-1500,15.03298881,0.1152,1.418333333,0.138,,,0,802,,5935.875,1.16875,0.97,1217.82,4.331428571,39.7446547,Transit
Kepler-1501 b,Kepler-1501,14.55651119,0.1237,1.321333333,0.1205,,,0,853.75,,6251.375,1.155,1.194285714,749.06,4.388571429,42.001428,Transit
Kepler-1502 b,Kepler-1502,41.70855218,0.2482,2.511333333,0.292,,,0,611.75,,6567.333333,1.472222222,1.305,1514.02,4.2525,39.3199201,Transit
Kepler-1503 b,Kepler-1503,96.16928334,0.37575,2.309166667,0.2395,,,0,323.25,,5123.95,0.923333333,0.7675,1225.57,4.4375,42.8067119,Transit
Kepler-1504 b,Kepler-1504,82.30485354,0.35975,3.267166667,0.3715,,,0,414.5,,5597.314444,1.378888889,0.92875,2435.94,4.23875,50.1282265,Transit
Kepler-1505 b,Kepler-1505,30.86092667,0.18965,1.165166667,0.1125,,,0,600,,5738.763333,1.096666667,0.96375,495.148,4.36125,41.7869639,Transit
Kepler-1506 b,Kepler-1506,14.03278537,0.1168,1.5845,0.164,,,0,783,,5906.5,1.25,1.038571429,2366.02,4.33,41.4645625,Transit
Kepler-1507 b,Kepler-1507,16.05056692,0.117475,0.838666667,0.072,,,0,663,,5383.054444,0.852222222,0.8775,320.478,4.515,46.5361247,Transit
Kepler-1508 b,Kepler-1508,20.70567203,0.144225,1.649166667,0.167,,,0,733,,5823.285714,1.42,1.01,1260.28,4.231666667,40.3750316,Transit
Kepler-1509 b,Kepler-1509,25.43357216,0.17265,2.040666667,0.2015,,,0,656.5,,5902.333333,1.27,1.0475,2002.96,4.295,46.9310139,Transit
Kepler-151 b,Kepler-151,15.22896038,0.114983333,2.981,0.271,,,0,641.2,,5405.388182,0.818181818,0.883333333,649.919,4.56,41.0231947,Transit
Kepler-151 c,Kepler-151,24.67462205,0.158783333,2.1675,0.194333333,,,0,545.4,,5405.388182,0.818181818,0.883333333,649.919,4.56,41.0231947,Transit
Kepler-1510 b,Kepler-1510,84.70430754,0.393825,3.328333333,0.3075,,,0,489,,6156.555556,1.32,1.14,1696.25,4.265,48.2578295,Transit
Kepler-1511 b,Kepler-1511,23.2383485,0.1753,2.218333333,0.1915,,,0,903,,6571.614444,1.772222222,1.34,1475.6,4.09,43.179773,Transit
Kepler-1512 b,Kepler-1512,20.35974333,0.12008,1.083333333,0.088,,,0,404,,4281.424444,0.635555556,0.6,,4.696666667,44.4704056,Transit
Kepler-1513 b,Kepler-1513,160.8845486,0.5416,8.783428571,0.741,48.30992,0.152,0.0612,346,G V,5550.57,0.974,0.895555556,349.247,4.4,39.2852655,Transit
Kepler-1513 c,Kepler-1513,841.4,,,,84.54236,0.266,0.125,,G V,5491,0.95,0.94,349.247,4.46,39.2852655,Transit Timing Variations
Kepler-1514 b,Kepler-1514,217.8320326,0.73998,16.23642857,1.083333333,1678.1424,5.28,0.0802,444.4,,6253.974,1.587,1.158888889,397.292,4.113333333,37.8601653,Transit
Kepler-1514 c,Kepler-1514,10.51418823,0.09808,1.584333333,0.1115,,,0.064,1220.2,,6261.8425,1.6725,1.1525,397.292,4.08375,37.8601653,Transit
Kepler-1515 b,Kepler-1515,214.3116343,0.7505,9.5415,0.896,,,0,387.5,,6468.397778,1.454444444,1.26625,539.321,4.22625,48.1782059,Transit
Kepler-1516 b,Kepler-1516,7.259310819,0.0718,1.809,0.1985,,,0,967,,5859,1.307777778,0.98625,1358.95,4.26,44.5234227,Transit
Kepler-1517 b,Kepler-1517,5.546083708,0.078,17.18883333,0.8985,,,0,2335.25,,7187.064444,2.851111111,1.79625,847.299,3.80375,43.1888008,Transit
Kepler-1518 b,Kepler-1518,5.111769304,0.0593,2.7298,0.2825,,,0,1351,,6570.996667,1.506666667,1.242,903.51,4.186,44.9861065,Transit
Kepler-1518 c,Kepler-1518,9.63097751,0.0905,2.98625,0.213,,,0,1094,,6516.996,1.386,1.146,903.51,4.212,44.9861065,Transit
Kepler-1519 b,Kepler-1519,240.798758,0.75455,8.218666667,0.8245,,,0,297.75,,5753.111111,1.232222222,0.985,1441.63,4.30875,49.4617774,Transit
Kepler-152 b,Kepler-152,18.20796669,0.126766667,3.0435,0.267666667,,,0,561.6,,5159.090909,0.751818182,0.84,441.09,4.605,41.9889571,Transit
Kepler-152 c,Kepler-152,88.25529717,0.36345,2.689125,0.237,,,0,331.8,,5159.090909,0.751818182,0.84,441.09,4.605,41.9889571,Transit
Kepler-1520 b,Kepler-1520,0.653553584,0.0129,11.50516667,1.3435,,,0,1436.25,,4571.125,0.68875,0.697142857,607.917,4.601428571,51.5047656,Transit
Kepler-1521 b,Kepler-1521,47.14843014,0.25135,4.485,0.221,,,0,559.75,,5026.71,1.126666667,0.88875,206.983,4.34875,37.8350549,Transit
Kepler-1522 b,Kepler-1522,1.847889848,0.028875,1.655666667,0.167,,,0,1380.75,,5730.157778,0.987777778,0.96875,814.125,4.4575,52.0702094,Transit
Kepler-1523 b,Kepler-1523,0.938749979,0.0188,1.540166667,0.1395,,,0,1766,,5649.2375,0.94125,0.987142857,865.596,4.487142857,45.8270447,Transit
Kepler-1524 b,Kepler-1524,70.96733655,0.3257,2.958666667,0.2825,,,0,454.5,,5889.5775,1.02125,0.988571429,381.773,4.407142857,39.5198348,Transit
Kepler-1525 b,Kepler-1525,2.416600861,0.03555,0.878666667,0.0815,,,0,1317.5,,5707.0775,0.99625,1.018571429,382.989,4.452857143,49.9428629,Transit
Kepler-1526 b,Kepler-1526,3.908635054,0.0418,2.193166667,0.195,,,0,787.75,,4537.222222,0.677777778,0.68125,555.574,4.60375,38.8664618,Transit
Kepler-1527 b,Kepler-1527,160.1305937,0.5886,4.534333333,0.48,,,0,366,,6043,1.377777778,1.0875,1842.13,4.24375,46.0608077,Transit
Kepler-1528 b,Kepler-1528,1.791110961,0.0296,1.347666667,0.117,,,0,1548.25,,5947.875,0.97375,1.052857143,817.534,4.475714286,46.5740084,Transit
Kepler-1529 b,Kepler-1529,5.339052941,0.0525,1.967833333,0.182,,,0,817,,5003.666667,0.732222222,0.74125,661.014,4.575,41.0407482,Transit
Kepler-153 b,Kepler-153,18.87021637,0.1281,2.82025,0.236,,,0,623.2,,5339.272727,0.81,0.828888889,459.368,4.532,48.2570293,Transit
Kepler-153 c,Kepler-153,46.90248113,0.234966667,2.488125,0.208666667,,,0,459.8,,5339.272727,0.81,0.828888889,459.368,4.532,48.2570293,Transit
Kepler-1530 b,Kepler-1530,2.590413553,0.0371,2.166833333,0.1435,,,0,1484,,5508.412222,1.038888889,0.965,489.876,4.3875,48.165153,Transit
Kepler-1530 c,Kepler-1530,5.323282611,0.06,2.200833333,0.148,,,0,1167,,5508.412222,1.038888889,0.965,489.876,4.3875,48.165153,Transit
Kepler-1530 d,Kepler-1530,9.207746321,0.0865,4.6958,0.293,,,0,972,,5581.02,1.162857143,0.984285714,489.876,4.315714286,48.165153,Transit
Kepler-1531 b,Kepler-1531,1.138545119,0.021775,1.274,0.099,,,0,2444.75,,6396.857143,1.43,1.114285714,666.334,4.178571429,39.3708055,Transit
Kepler-1532 b,Kepler-1532,1.093664601,0.020525,1.320666667,0.115,,,0,1677.25,,5776.375,0.86375,0.971428571,798.246,4.547142857,41.1981424,Transit
Kepler-1533 b,Kepler-1533,308.5473639,0.92995,3.015166667,0.345,,,0,306,,6388.9075,1.38875,1.205714286,966.801,4.284285714,44.7133739,Transit
Kepler-1534 b,Kepler-1534,5.716689443,0.0599,1.9275,0.169,,,0,955,,5589,0.875,0.885,,4.4975,43.8691326,Transit
Kepler-1535 b,Kepler-1535,138.9444371,0.5176,2.276333333,0.2305,,,0,353.25,,5981.111111,1.043333333,1.01125,897.733,4.4225,38.8919507,Transit
Kepler-1536 b,Kepler-1536,364.7558747,0.8507,2.9925,0.273,,,0,166,,4369.852857,0.651428571,0.641666667,387.248,4.616666667,45.7158742,Transit
Kepler-1537 b,Kepler-1537,1.444453501,0.0245,1.8175,0.1015,,,0,1800,,5197.5,1.12375,0.89,517.292,4.285714286,43.8254461,Transit
Kepler-1538 b,Kepler-1538,175.1389101,0.628175,2.839833333,0.2305,,,0,357.25,,5872.111111,1.024444444,1.0575,1125.3,4.43875,45.2743573,Transit
Kepler-1539 b,Kepler-1539,133.3035578,0.4774,2.652,0.228,,,0,301,,5131.888889,0.807777778,0.82875,748.326,4.53875,44.2685146,Transit
Kepler-154 b,Kepler-154,33.04053611,0.19588,2.213571429,0.215,,,0,545.25,,5784.4,0.966,0.96625,915.212,4.466666667,49.8965624,Transit
Kepler-154 c,Kepler-154,62.30280226,0.29912,2.966857143,0.283333333,,,0,441.25,,5789.333333,0.956666667,0.957142857,915.212,4.47375,49.8965624,Transit
Kepler-154 d,Kepler-154,20.54980683,0.14346,3.685857143,0.37,,,0,643.8,,5814.1,0.959,0.973333333,915.212,4.476666667,49.8965624,Transit
Kepler-154 e,Kepler-154,3.932762143,0.0473,1.420333333,0.1405,,,0,1107.75,,5801.75,0.95125,0.957142857,915.212,4.481428571,49.8965624,Transit
Kepler-154 f,Kepler-154,9.919345597,0.087625,1.342166667,0.132,,,0,814,,5801.75,0.95125,0.957142857,915.212,4.481428571,49.8965624,Transit
Kepler-1540 b,Kepler-1540,125.4131732,0.4255,2.533333333,0.23,,,0,245,,4443.75,0.675,0.674285714,244.96,4.601428571,41.2017544,Transit
Kepler-1541 b,Kepler-1541,8.406923256,0.0781,1.770166667,0.099,,,0,1048,,5317.468889,1.128888889,0.89875,416.692,4.30125,48.0296019,Transit
Kepler-1542 b,Kepler-1542,3.951170624,0.046925,0.894333333,0.0755,,,0,1247.75,,5637.3225,1.1375,0.922857143,399.114,4.291428571,42.6544651,Transit
Kepler-1542 c,Kepler-1542,2.892232787,0.03815,0.769333333,0.0635,,,0,1384.5,,5637.3225,1.1375,0.922857143,399.114,4.291428571,42.6544651,Transit
Kepler-1542 d,Kepler-1542,5.992643062,0.062133333,0.9694,0.084,,,0,1077.333333,,5623.94,1.13,0.931666667,399.114,4.303333333,42.6544651,Transit
Kepler-1542 e,Kepler-1542,5.101139782,0.055766667,0.8862,0.076,,,0,1137,,5623.94,1.13,0.931666667,399.114,4.303333333,42.6544651,Transit
Kepler-1543 b,Kepler-1543,6.967130894,0.081975,2.992666667,0.23,,,0,1354,,6527.785,1.68125,1.464285714,921.784,4.185714286,47.0369876,Transit
Kepler-1544 b,Kepler-1544,168.8111364,0.5416,1.776428571,0.156333333,,,0,255.6,,4839.6,0.74,0.757777778,335.09,4.577777778,49.2124526,Transit
Kepler-1545 b,Kepler-1545,163.6923118,0.5586,2.734166667,0.2465,,,0,278.5,,5169.6,0.855555556,0.86125,729.964,4.515,47.4630696,Transit
Kepler-1546 b,Kepler-1546,19.59739537,0.1366,3.399333333,0.286,,,0,671,,5626.777778,0.948888889,0.94125,931.956,4.455,41.5411993,Transit
Kepler-1547 b,Kepler-1547,0.692979273,0.015525,1.131833333,0.093,,,0,2454,,6020.694286,1.291428571,1.058333333,674.695,4.271666667,42.2220992,Transit
Kepler-1548 b,Kepler-1548,124.8284142,0.475925,2.340166667,0.203,,,0,344,,5633,0.84,0.9575,872.279,4.56625,46.0805706,Transit
Kepler-1549 b,Kepler-1549,214.8847589,0.68925,2.614666667,0.2175,,,0,271,,5282.111111,0.898888889,0.9075,803.052,4.48625,39.0960281,Transit
Kepler-155 b,Kepler-155,5.931196541,0.0534975,1.974444444,0.1785,,,0,583.5714286,M0 V,4215.211667,0.620833333,0.612727273,293.499,4.642727273,51.0819286,Transit
Kepler-155 c,Kepler-155,52.66160765,0.2301,1.962222222,0.1835,,,0,281.5,,4251.992308,0.65,0.628333333,293.499,4.619230769,51.0819286,Transit
Kepler-1550 b,Kepler-1550,225.5839817,0.742,2.9475,0.2685,,,0,321,,6015.222222,1.08,1.07,1179.01,4.4075,38.2947076,Transit
Kepler-1551 b,Kepler-1551,24.49731911,0.17675,2.622333333,0.237,,,0,716,,6308.704444,1.145555556,1.21125,1463.72,4.40125,39.9078956,Transit
Kepler-1552 b,Kepler-1552,184.7718735,0.577125,2.394666667,0.243,,,0,255.25,,5143.63,0.85375,0.774285714,769.096,4.502857143,38.8749152,Transit
Kepler-1553 b,Kepler-1553,4.242621953,0.0487,1.109166667,0.0995,,,0,935.75,,5238.615,0.80125,0.872857143,692.594,4.567142857,39.0221769,Transit
