planet_name,host_star_name,orbital_period_day,orbit_semi_major_axis_au,planet_rad_earth_rad,planet_rad_jup_rad,planet_mass_earth_mass,planet_mass_jup_mass,Eccentricity,planet_equil_temp_k,spectral_type,stellar_effective_temp_k,stellar_rad_solar_rad,stellar_mass_solar_mass,distance_parsec,stellar_surf_grav,declination_deg,discovery_method
11 Com b,11 Com,324.62,1.226,,,5505.066163333333,17.32133333333333,0.2345,,G8 III,4808.0,16.38,2.4633333333333334,93.1846,2.38,17.7932516,Radial Velocity
11 UMi b,11 UMi,516.219985,1.5266666666666666,,,3818.0947333333334,12.013333333333334,0.08,,K4 III,4276.5,26.935,2.0933333333333333,125.32099999999998,1.7650000000000001,71.8239428,Radial Velocity
14 And b,14 And,186.3,0.7616666666666667,,,1224.5504333333333,3.853,0.0,,K0 III,4850.5,11.275,1.7266666666666666,75.4392,2.59,39.2358367,Radial Velocity
14 Her b,14 Her,1766.3784171428572,2.81475,,,1642.3835912499999,5.167625,0.362925,,K0 V,5296.985,0.9766666666666667,0.9271428571428572,17.9323,4.42,43.8163621,Radial Velocity
16 Cyg B b,16 Cyg B,799.375,1.6628333333333334,,,533.5145283333333,1.6786666666666665,0.6760333333333334,,G2.5 V,5728.594,1.14,1.016,21.1397,4.343999999999999,50.5168243,Radial Velocity
17 Sco b,17 Sco,578.38,1.45,,,1373.01872,4.32,0.06,,K3 III,4157.0,25.92,1.22,124.953,1.7,-11.8377905,Radial Velocity
18 Del b,18 Del,988.075,2.5386666666666664,,,3109.0153800000003,9.782333333333334,0.052000000000000005,,G6 III,4979.5,8.65,2.1666666666666665,76.222,2.8449999999999998,10.839137799999998,Radial Velocity
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,330.0,18.647,1.664,3135.75,9.0,,1750.0,K7 V,4043.25,1.33,0.7925,139.135,4.0,-21.0831403,Imaging
24 Boo b,24 Boo,30.3403,0.192,,,284.93389,0.8965000000000001,0.037000000000000005,,G3 IV,4854.5,11.415,1.02,95.9863,2.3499999999999996,49.8446488,Radial Velocity
24 Sex b,24 Sex,452.8,1.333,,,632.46,1.99,0.09,,,5098.0,4.9,1.54,72.0691,3.5,-0.9023998,Radial Velocity
24 Sex c,24 Sex,883.0,2.08,,,273.32,0.86,0.29,,,5098.0,4.9,1.54,72.0691,3.5,-0.9023998,Radial Velocity
2M0437 b,2MASS J04372171+2651014,,118.0,,,1271.31363,4.0,,1450.0,M V,3100.0,0.84,0.17,128.484,4.5,26.8502997,Imaging
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,,84.0,,,4131.79,13.0,,,M5.5/M6,,,0.19,,,-55.2658291,Imaging
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,52.0,11.209,1.0,7786.5,24.5,,1600.0,M3.5 V,3419.5,0.37,0.375,33.8281,4.86,-24.6646128,Imaging
2MASS J02192210-3925225 b,2MASS J02192210-3925225,,156.0,16.141,1.44,4417.837,13.9,,,M6,3064.0,0.28,0.11,,4.59,-39.4230767,Imaging
2MASS J0249-0557 c,2MASS J0249-0557 A,,1950.0,,,3686.80952,11.6,,,M6 V,,,0.05,66.0613,,-5.9599921,Imaging
2MASS J03590986+2009361 b,2MASS J03590986+2009361,,572.0,,,5720.91133,18.0,,2369.0,,,,,117.435,,20.1599759,Imaging
2MASS J04414489+2301513 b,2MASS J04414489+2301513,,15.0,,,2383.6,7.5,,,M8.5,,,0.02,,,23.0308544,Imaging
2MASS J11011926-7732383 b,2MASS J11011926-7732383,,266.0,,,8899.1954,28.0,,2677.0,,,,,,,-77.5440912,Imaging
2MASS J11550485-7919108 b,2MASS J11550485-7919108,,587.0,,,6356.56814,20.0,,2506.0,,,,,100.862,,-79.3197558,Imaging
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,50.5,,,1430.075,4.5,,1200.0,M8,2825.0,0.22,0.105,64.308,5.03,-39.5484399,Imaging
2MASS J19383260+4603591 b,2MASS J19383260+4603591,411.0,0.92,,,597.51892,1.88,0.33,,,29564.0,0.2,0.48,396.332,5.51,46.0664076,Eclipse Timing Variations
2MASS J21252752-8138278 b,2MASS J21252752-8138278,,7493.0,,,3813.94088,12.0,,1616.0,,,,,34.1154,,-81.6414894,Imaging
2MASS J22362452+4751425 b,2MASS J22362452+4751425,,230.0,,,3972.875,12.5,,,K7 V,4045.0,,0.6,69.5737,,47.861683,Imaging
30 Ari B b,30 Ari B,338.5333366666667,0.9983333333333334,,,3210.039533333333,10.1,0.25299999999999995,,F6 V,6315.5,1.2233333333333334,1.4166666666666667,44.657000000000004,4.465,24.6480103,Radial Velocity
4 UMa b,4 UMa,269.78499999999997,0.8734999999999999,,,2383.990035,7.5009999999999994,0.4425,,K1 III,4415.0,18.11,1.23,73.4603,1.8,64.3280504,Radial Velocity
42 Dra b,42 Dra,479.1,1.19,,,1233.13,3.88,0.38,,K1.5 III,4200.0,22.03,0.98,90.6545,1.71,65.5633652,Radial Velocity
47 UMa b,47 UMa,1083.04,2.0957999999999997,,,812.223832,2.5556,0.0412,,G0 V,5861.053333333333,1.1749999999999998,1.0433333333333332,13.796699999999998,4.3149999999999995,40.4304931,Radial Velocity
47 UMa c,47 UMa,4088.0,4.911333333333333,,,251.81724,0.7923333333333334,0.09400000000000001,,G1 V,5850.58,1.1749999999999998,1.0350000000000001,13.7967,4.3149999999999995,40.4304931,Radial Velocity
47 UMa d,47 UMa,16501.0,12.7,,,500.570445,1.575,0.27,,,5850.58,1.1749999999999998,1.0350000000000001,13.7967,4.3149999999999995,40.4304931,Radial Velocity
51 Eri b,51 Eri,13326.5,13.066666666666668,,,635.66,2.0,0.33,700.0,F0 IV,7295.0,1.49,1.6833333333333333,29.757500000000004,4.31,-2.4738245,Imaging
51 Peg b,51 Peg,4.230530379999999,0.052262499999999996,,,148.360256,0.4668,0.00344,,,5763.920000000001,1.22,1.0466666666666666,15.461400000000001,4.316666666666666,20.7690958,Radial Velocity
55 Cnc b,55 Cnc,14.632668666666667,0.11403475,,,263.08102583333334,0.8277666666666667,0.013758333333333332,700.0,G8 V,5241.412857142857,0.9566666666666667,0.9179999999999999,12.585500000000001,4.438571428571429,28.3298154,Radial Velocity
55 Cnc c,55 Cnc,44.325675,0.23927825,,,55.53513375,0.1747375,0.102375,,,5248.315,0.9566666666666667,0.9225,12.5855,4.428333333333334,28.3298154,Radial Velocity
55 Cnc d,55 Cnc,5000.5599999999995,5.5963,,,1137.00417,3.5774999999999997,0.11499000000000001,,G8 V,5248.315,0.9566666666666667,0.9255555555555556,12.5855,4.428333333333334,28.3298154,Radial Velocity
55 Cnc e,55 Cnc,1.0120187526666666,0.019643636363636363,1.97525,0.176125,8.667004615384615,0.02723153846153846,0.081625,1958.0,G8 V,5239.080909090909,0.9546153846153846,0.9226666666666666,12.5855,4.430909090909091,28.3298154,Radial Velocity
55 Cnc f,55 Cnc,260.81,0.7785857142857143,,,47.39125571428571,0.14909999999999998,0.161,,,5248.315,0.9566666666666667,0.9185714285714285,12.5855,4.428333333333334,28.3298154,Radial Velocity
6 Lyn b,6 Lyn,906.9835,2.1295,,,675.4694575,2.12525,0.0935,,K0 IV,4952.333333333333,5.135,1.57,54.6599,3.17,58.1611753,Radial Velocity
61 Vir b,61 Vir,4.2149350000000005,0.0498805,,,5.10852,0.016050000000000002,0.1095,,G5 V,5581.285,0.995,0.925,8.50332,4.355,-18.3157745,Radial Velocity
61 Vir c,61 Vir,38.058350000000004,0.2163,,,17.156950000000002,0.05385,0.10400000000000001,,G5 V,5581.285,0.995,0.925,8.50332,4.355,-18.3157745,Radial Velocity
61 Vir d,61 Vir,123.01,0.476,,,22.9,0.072,0.35,,G5 V,5577.0,0.96,0.94,8.50332,4.34,-18.3157745,Radial Velocity
7 CMa b,7 CMa,764.6999999999999,1.8626666666666667,,,732.0491000000001,2.3033333333333332,0.14,,K1 III,4804.173333333333,4.026666666666666,1.4300000000000002,19.8101,3.2199999999999998,-19.2561808,Radial Velocity
7 CMa c,7 CMa,996.0,2.153,,,276.5121,0.87,0.08,,,4826.0,4.87,1.34,19.8101,3.19,-19.2561808,Radial Velocity
70 Vir b,70 Vir,116.68995833333334,0.47641666666666665,,,2315.67721,7.2860000000000005,0.3990666666666667,,,5498.372,1.8975,1.098,17.9011,3.9560000000000004,13.7763085,Radial Velocity
75 Cet b,75 Cet,694.26,2.0060000000000002,,,870.69331,2.7395,0.10500000000000001,,G3 III,4827.5,10.440000000000001,2.205,82.9613,2.66,-1.0350269,Radial Velocity
75 Cet c,75 Cet,2051.62,3.929,,,289.85951,0.912,0.023,,G3 III,4809.0,10.38,1.92,82.9613,2.69,-1.0350269,Radial Velocity
8 UMi b,8 UMi,93.4,0.49,,,446.55115,1.405,0.06,,K0,4847.2,10.100000000000001,1.62,162.552,2.57,74.9009379,Radial Velocity
81 Cet b,81 Cet,979.135,2.258,,,1336.6195133333333,4.205666666666667,0.1215,,G5 III,4759.5,11.105,1.7433333333333334,101.26,2.38,-3.3963607000000002,Radial Velocity
91 Aqr b,91 Aqr,181.4,0.7,,,1017.0,3.2,0.027,,K0 III,4665.0,11.0,1.4,44.0304,2.52,-9.0878076,Radial Velocity
AB Aur b,AB Aur,,93.9,,,2860.45566,9.0,0.4,,,9770.0,,2.4,162.127,,30.5510888,Imaging
AB Pic b,AB Pic,,260.0,,,4290.5,13.5,,,K2 V,,,,50.0475,,-58.0541184,Imaging
AF Lep b,AF Lep,8203.333333333334,8.563333333333334,,,1349.3934733333333,4.245666666666667,0.3433333333333333,1400.0,F8 V,6123.333333333333,1.25,1.1766666666666665,26.856399999999997,4.4,-11.901175200000003,Imaging
AU Mic b,AU Mic,8.463094688888889,0.06486,4.105,0.36624999999999996,22.221566666666664,0.06991499999999999,0.06453857142857143,596.5,M1,3690.5,0.7585714285714286,0.5157142857142857,9.7221,4.425,-31.34245,Transit
AU Mic c,AU Mic,18.859086833333333,0.11025,2.8506666666666667,0.2543333333333333,14.899999999999999,0.04688,0.043595,456.5,,3685.75,0.762,0.522,9.7221,4.4366666666666665,-31.34245,Transit
AU Mic d,AU Mic,12.73596,,,,1.053,0.00331,0.00305,,,3678.0,0.74,0.51,9.7221,4.4,-31.34245,Transit Timing Variations
BD+03 2562 b,BD+03 2562,481.9,1.3,,,2034.112,6.4,0.2,,,4095.0,32.35,1.14,1070.63,1.89,2.7601075,Radial Velocity
BD+14 4559 b,BD+14 4559,268.94,0.7785,,,398.8666,1.255,0.29,,K2 V,4936.0,0.905,0.675,49.352,4.43,14.6893834,Radial Velocity
BD+15 2375 b,BD+15 2375,153.22,0.576,,,337.21763,1.061,0.001,,,4649.0,8.95,1.08,768.045,2.61,14.6163182,Radial Velocity
BD+15 2940 b,BD+15 2940,137.48,0.539,,,352.78,1.11,0.26,,K0,4796.0,14.7,1.1,426.42,2.8,15.5467507,Radial Velocity
BD+20 2457 b,BD+20 2457,379.63,1.25,,,12237.89985,38.505,0.15,,K2 II,4198.0,60.01,6.8149999999999995,1539.71,1.6400000000000001,19.8912626,Radial Velocity
BD+20 2457 c,BD+20 2457,621.99,2.01,,,3963.17,12.47,0.18,,K2 II,4137.0,49.0,2.8,1539.71,1.51,19.8912626,Radial Velocity
BD+20 274 b,BD+20 274,578.2,1.3,,,1334.886,4.2,0.21,,K5 III,4296.0,17.3,0.8,1322.51,1.99,21.0052692,Radial Velocity
BD+20 594 b,BD+20 594,41.686547999999995,0.241,2.3876666666666666,0.213,19.274050000000003,0.060645000000000004,0.0,546.0,G,5745.0,0.9900000000000001,1.1966666666666665,179.461,4.46,20.5990205,Transit
BD+45 564 b,BD+45 564,307.88,0.83,,,432.24663,1.36,0.12,,K1,5004.0,,0.81,53.622,4.22,45.9242187,Radial Velocity
BD+48 738 b,BD+48 738,392.6,1.0,,,289.2253,0.91,0.2,,K0 III,4414.0,11.0,0.74,871.493,2.24,49.5869395,Radial Velocity
BD+48 740 b,BD+48 740,733.0,1.7,,,540.311,1.7,0.76,,,4534.0,10.33,1.09,666.589,2.48,48.9300579,Radial Velocity
BD+49 828 b,BD+49 828,2590.0,4.2,,,508.5,1.6,0.35,,K0,4943.0,7.6,1.52,442.042,2.85,49.7299481,Radial Velocity
BD+55 362 b,BD+55 362,265.59,0.78,,,228.83645,0.72,0.27,,K3,5012.0,,0.91,52.5697,4.09,56.6982282,Radial Velocity
BD+60 1417 b,BD+60 1417,,1662.0,14.684,1.31,4767.4261,15.0,,1303.0,K0,4993.0,0.8,1.0,44.9543,4.55,60.0143636,Imaging
BD+63 1405 b,BD+63 1405,1214.24,2.0875000000000004,,,2282.00796,7.18,0.8855,,K0,5000.0,,0.82,38.0473,4.2,63.6700064,Radial Velocity
BD-00 4475 b,BD-00 4475,723.2,1.48,,,7961.6016,25.05,0.39,,G0,5040.0,,0.81,42.6402,4.25,0.4085612,Radial Velocity
BD-06 1339 b,BD-06 1339,3.8728,0.0428,,,8.5,0.027,0.0,,K7/M0 V,4324.0,,0.7,20.2695,4.74,-5.9963378,Radial Velocity
BD-06 1339 c,BD-06 1339,125.94,0.435,,,53.0,0.17,0.31,,K7/M0 V,4324.0,,0.7,20.2695,4.74,-5.9963378,Radial Velocity
BD-08 2823 b,BD-08 2823,5.6,0.057999999999999996,,,13.5566,0.042499999999999996,0.15,,K3 V,4781.0,0.71,0.62,41.3342,4.279999999999999,-9.5165689,Radial Velocity
BD-08 2823 c,BD-08 2823,237.6,0.68,,,104.0,0.33,0.19,,K3 V,4746.0,,0.74,41.3342,4.13,-9.5165689,Radial Velocity
BD-10 3166 b,BD-10 3166,3.48761125,0.04405,,,157.0836625,0.49424999999999997,0.02775,,K0 V,5392.16,0.94,1.145,84.4069,4.5575,-10.7704227,Radial Velocity
BD-11 4672 b,BD-11 4672,1650.5,2.32,,,187.51475,0.5900000000000001,0.05,,K7 V,4512.5,0.5800000000000001,0.61,27.1665,4.369999999999999,-11.6370481,Radial Velocity
BD-11 4672 c,BD-11 4672,74.2,0.3,,,15.37,0.04836,0.4,,,4550.0,0.64,0.65,27.1665,4.64,-11.6370481,Radial Velocity
BD-13 2130 b,BD-13 2130,714.299995,1.88,,,3238.6877,10.19,0.21,,,4545.0,19.17,2.26,925.214,2.2,-13.9066703,Radial Velocity
BD-17 63 b,BD-17 63,655.5999899999999,1.34,,,1263.3577500000001,3.9749999999999996,0.54,,K5 V,4689.5,0.715,0.525,34.4603,4.225,-16.2273254,Radial Velocity
BD-210397 b,BD-210397,1891.0,2.63,,,214.0,0.7,0.1,,K7 V,4051.0,0.75,0.68,23.7324,4.67,-21.1962147,Radial Velocity
BD-210397 c,BD-210397,6300.0,5.9,,,1142.2881750000001,3.5999999999999996,0.265,,K7 V,4051.0,0.75,0.685,23.7324,4.67,-21.1962147,Radial Velocity
CD Cet b,CD Cet,2.2907,0.0185,,,3.95,0.01243,,464.0,M5.0 V,3130.0,0.17,0.16,8.60715,4.93,4.7751881,Radial Velocity
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,10037.5,2.6,,,3337.1,10.5,,370.0,,580.5,,0.02,,4.72,10.2286111,Imaging
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,8040000.0,200.0,20.849,1.86,2479.06157,7.8,,1800.0,M9-L1,2320.0,0.24,0.01,,3.85,-23.98115,Imaging
CHXR 73 b,CHXR 73,,210.0,,,3994.486,12.569,,,M3.5,,,0.35,190.374,,-77.6258725,Imaging
CI Tau c,CI Tau,25.2,0.17,,,1144.18227,3.6,0.58,,,,,,157.998,,22.8416192,Radial Velocity
COCONUTS-2 b,COCONUTS-2 A,402000000.0,7506.0,12.442,1.11,2002.31896,6.3,,434.0,M3 V,3406.0,0.39,0.37,10.8864,4.83,-76.702696,Imaging
CT Cha b,CT Cha,,440.0,24.66,2.2,5403.0,17.0,,2600.0,,,,,190.72,,-76.4553693,Imaging
CoRoT-1 b,CoRoT-1,1.5089655866666665,0.02622,17.162799999999997,1.5312,348.97436,1.098,0.026749999999999996,1882.3333333333333,G0 V,6019.6,1.1524999999999999,1.0375,787.909,4.27,-3.1021394,Transit
CoRoT-10 b,CoRoT-10,13.2406,0.10566666666666667,10.763666666666666,0.9603333333333333,875.0811,2.7533333333333334,0.527,623.5,K1 V,5075.0,0.7733333333333334,0.8933333333333334,338.386,4.65,0.7460143,Transit
CoRoT-11 b,CoRoT-11,2.994317606,0.043795,15.906,1.419,777.085875,2.4450000000000003,0.12,1702.3333333333333,F6 V,6420.6,1.3616666666666666,1.31,655.037,4.2425,5.9376586,Transit
CoRoT-12 b,CoRoT-12,2.828043936,0.0397225,15.619499999999999,1.3935,285.4083125,0.898,0.060000000000000005,1423.0,,5675.0,1.092,1.052,1126.37,4.3875,-1.2964437,Transit
CoRoT-13 b,CoRoT-13,4.03518,0.05102333333333333,11.291333333333334,1.0073333333333334,418.57622999999995,1.317,0.0335,1566.0,G0 V,5945.0,1.075,1.09,1148.93,4.3933333333333335,-5.0864557,Transit
CoRoT-14 b,CoRoT-14,1.5121399999999998,0.026926666666666668,11.949666666666667,1.066,2403.8182333333334,7.563333333333333,0.018,1944.0,F9 V,6036.666666666667,1.2033333333333334,1.1266666666666667,1744.5999999999997,4.345,-5.5360385,Transit
CoRoT-16 b,CoRoT-16,5.35227,0.0618,13.1125,1.17,169.08203500000002,0.532,0.35,,G5 V,5650.0,1.19,1.1,732.409,4.36,-6.0026026,Transit
CoRoT-17 b,CoRoT-17,3.7681,0.04743333333333333,11.383333333333333,1.0156666666666665,773.3740333333334,2.4333333333333336,0.0405,1618.0,G2 V,5740.0,1.6000000000000003,1.04,1176.12,4.220000000000001,-6.612288,Transit
CoRoT-18 b,CoRoT-18,1.90007496,0.0291,14.058,1.2542499999999999,1072.6637249999999,3.375,0.052500000000000005,1509.0,G9 V,5440.0,0.96,0.9179999999999999,764.889,4.4325,-0.0316045,Transit
CoRoT-19 b,CoRoT-19,3.89713178,0.05155333333333333,14.086333333333334,1.2566666666666666,355.4361166666667,1.1183333333333334,0.051500000000000004,1815.0,F9 V,6090.0,1.636,1.204,790.663,4.0825000000000005,-0.1707293,Transit
CoRoT-2 b,CoRoT-2,1.7429960963636366,0.028214,16.358571428571427,1.4594285714285713,1090.1411666666665,3.4299999999999997,0.009575,1534.6666666666667,,5629.444444444444,0.91,0.9816666666666666,213.283,4.446666666666666,1.3836634,Transit
CoRoT-20 b,CoRoT-20,9.242916000000001,0.08972,10.76175,0.96,1396.53318,4.394,0.5756666666666667,1042.0,G2 V,5880.0,1.135,1.126,844.061,4.260000000000001,0.2268931,Transit
CoRoT-20 c,CoRoT-20,1675.0,2.9,,,5403.11,17.0,0.6,,,,,1.14,844.061,,0.2268931,Radial Velocity
CoRoT-21 b,CoRoT-21,2.72474,0.04165,14.572,1.3,711.9392,2.24,0.195,,F8 IV,6200.0,1.95,1.29,,3.7,-0.2991544,Transit
CoRoT-22 b,CoRoT-22,9.75598,0.092,4.88,0.435,12.2,0.038,0.077,885.0,G3 V,5939.0,1.14,1.1,627.158,4.36,6.2191669,Transit
CoRoT-23 b,CoRoT-23,3.6313,0.048163333333333336,12.255333333333333,1.0933333333333335,948.1848333333334,2.983333333333333,0.16,1685.0,G0 V,5900.0,1.6533333333333333,1.1333333333333333,1060.97,4.154999999999999,4.3577516,Transit
CoRoT-24 b,CoRoT-24,5.1134,0.056,3.7,0.33,5.7,0.018,0.0,1070.0,K1 V,4950.0,0.86,0.91,591.555,4.55,-3.7192892,Transit
CoRoT-24 c,CoRoT-24,11.759,0.098,5.0,0.44,28.0,0.088,0.0,850.0,K1 V,4950.0,0.86,0.91,591.555,4.55,-3.7192892,Transit
CoRoT-25 b,CoRoT-25,4.86069,0.057844999999999994,12.108,1.08,89.467095,0.2815,0.11,1330.0,F9,6040.0,1.19,1.09,1103.48,4.31,6.5138223,Transit
CoRoT-26 b,CoRoT-26,4.20474,0.05255,14.1215,1.26,174.8007,0.55,0.205,1600.0,G5,5590.0,1.79,1.09,1045.18,3.99,6.9697828,Transit
CoRoT-27 b,CoRoT-27,3.57532,0.04715,11.287,1.007,3287.8795,10.345,0.0495,1500.0,G2,5900.0,1.08,1.05,1010.28,4.4,5.5383811,Transit
CoRoT-28 b,CoRoT-28,5.20851,0.059649999999999995,10.705,0.955,153.35297500000001,0.4825,0.059,,G8/9 IV,5150.0,1.78,1.01,766.183,3.6,5.5736911,Transit
CoRoT-29 b,CoRoT-29,2.8505671666666665,0.0388,10.088,0.9,268.56635,0.845,0.101,,K0 V,5262.666666666667,0.96,0.9466666666666667,806.507,4.3149999999999995,6.4795703,Transit
CoRoT-3 b,CoRoT-3,4.25679955,0.05739,11.35,1.0125,6856.315725,21.5725,0.008,1695.0,F3 V,6694.5,1.534,1.3820000000000001,768.771,4.22,0.1218359,Transit
CoRoT-30 b,CoRoT-30,9.06005,0.0844,11.31,1.009,921.707,2.9,0.007,,G3 V,5650.0,0.91,0.98,1032.23,4.4,6.8359338,Transit
CoRoT-31 b,CoRoT-31,4.62941,0.0586,16.365,1.46,266.9772,0.84,0.02,,G2 IV,5700.0,2.15,1.25,2005.76,3.85,-4.4222978,Transit
CoRoT-35 b,CoRoT-35,3.22748,0.0429,18.831,1.68,349.61125,1.1,0.0,1747.0,F6 V,6390.0,1.65,1.01,1123.21,4.01,-2.7747085,Transit
CoRoT-36 b,CoRoT-36,5.616531,0.066,15.805,1.41,216.12332,0.68,0.0,1567.0,F3 V,6730.0,1.52,1.32,925.958,4.16,7.1833465,Transit
CoRoT-4 b,CoRoT-4,9.20205,0.09048333333333332,13.226999999999999,1.18,228.1994066666667,0.718,0.07,1066.0,,6190.0,1.1633333333333333,1.17,726.4119999999999,4.405,-0.6727861,Transit
CoRoT-5 b,CoRoT-5,4.0379039599999995,0.04966,14.611,1.3034999999999999,148.9017025,0.4685,0.0885,1394.3333333333333,F9 V,6100.0,1.135,1.0025,882.472,4.3133333333333335,0.8152163,Transit
CoRoT-6 b,CoRoT-6,8.886601924999999,0.08546666666666668,13.140333333333333,1.1723333333333332,939.7051,2.956666666666667,0.14,1021.0,F9 V,6090.0,1.0266666666666666,1.05,645.294,4.425,6.6632062,Transit
CoRoT-7 b,CoRoT-7,0.85362873375,0.0170232,1.6524999999999999,0.14733333333333334,7.24935875,0.02280625,0.03,1833.0,G9 V,5266.75,0.8628571428571429,0.8925000000000001,159.906,4.51,-1.0630076,Transit
CoRoT-7 c,CoRoT-7,3.6983333333333337,0.0455,,,11.749666666666668,0.037079999999999995,0.06,,G9 V,5254.0,0.86,0.9066666666666667,159.906,4.52,-1.0630076,Radial Velocity
CoRoT-7 d,CoRoT-7,8.966,,,,17.142,0.05393,,,G9 V,5250.0,,0.92,159.906,,-1.0630076,Radial Velocity
CoRoT-8 b,CoRoT-8,6.2123515000000005,0.0633225,6.9245,0.61775,69.28629000000001,0.218,0.095,896.0,K1 V,5080.0,0.81,0.8825000000000001,322.037,4.543333333333333,1.4262972,Transit
CoRoT-9 b,CoRoT-9,95.27312739999999,0.403675,11.823,1.05475,266.33974,0.838,0.12566666666666668,416.5,G3 V,5625.0,0.95,0.9675,412.98,4.5200000000000005,6.2040783,Transit
CoRoTID 223977153 b,CoRoTID 223977153,6.7183689,0.071,6.389,0.57,47.6745,0.15,,938.0,G0 VI,5970.0,0.79,1.08,576.683,4.67,9.2573953,Transit
DE CVn b,DE CVn,4098.1,5.75,,,3823.2733,12.0293,0.0,,,,,0.51,30.5225,,45.5455449,Eclipse Timing Variations
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,246.36,0.36,,,9057.77,28.5,0.345,,L1.5,,,0.07,,,-49.2003008,Astrometry
DH Tau b,DH Tau,,330.0,30.264,2.7,3496.065,11.0,,2200.0,M0.5,4371.0,0.8200000000000001,0.505,134.846,4.0,26.5493897,Imaging
DMPP-1 b,DMPP-1,18.57,0.1462,,,24.27,0.07636,0.083,877.0,F8 V,6196.0,1.26,1.21,62.5388,4.41,-10.6303217,Radial Velocity
DMPP-1 c,DMPP-1,6.584,0.0733,,,9.6,0.0302,0.057,1239.0,F8 V,6196.0,1.26,1.21,62.5388,4.41,-10.6303217,Radial Velocity
DMPP-1 d,DMPP-1,2.882,0.0422,,,3.35,0.01054,0.07,1632.0,F8 V,6196.0,1.26,1.21,62.5388,4.41,-10.6303217,Radial Velocity
DMPP-1 e,DMPP-1,5.516,0.0651,,,4.13,0.01299,0.07,1314.0,F8 V,6196.0,1.26,1.21,62.5388,4.41,-10.6303217,Radial Velocity
DMPP-2 b,DMPP-2,5.2072,0.0664,,,138.89171,0.437,0.078,1000.0,F5 V,6500.0,1.78,1.44,137.94,4.1,-34.4590985,Radial Velocity
DMPP-3 A b,DMPP-3 A,6.6734,0.0662,,,2.58,0.00812,0.07,854.0,K0 V,5138.0,0.91,0.87,45.23,4.3,-72.5126648,Radial Velocity
DMPP-4 b,DMPP-4,3.4982,0.04853,,,12.2,0.03839,0.063,,F5-F8 V,6400.0,1.38,1.25,25.3284,4.24,51.2358069,Radial Velocity
DP Leo b,DP Leo,9456.5,8.395,,,1959.33916,6.165,0.39,,,,,0.69,305.684,,17.9615717,Eclipse Timing Variations
DS Tuc A b,DS Tuc A,8.138484,,5.665,0.5045,413.179,1.3,0.0,850.0,G6 V,5485.0,0.915,0.985,44.0622,4.6,-69.196043,Transit
EPIC 201170410.02,EPIC 201170410,6.7987,0.0349,1.047,0.093,,,0.0,,,3648.0,0.28,0.29,,5.0,-4.8070039,Transit
EPIC 201238110 b,EPIC 201238110,28.1676,,2.035,0.1835,,,,,,,0.37,0.41,159.259,,-3.3894613,Transit
EPIC 201427007 b,EPIC 201427007,0.72091,,1.5,0.134,,,,,,5633.0,0.94,,706.391,4.4,-0.5512886,Transit
EPIC 201497682 b,EPIC 201497682,2.13174,,0.692,0.062,,,,,,,,0.78,253.026,,0.4880606,Transit
EPIC 201595106 b,EPIC 201595106,0.8771423333333334,,1.3019999999999998,0.11866666666666666,,,,1874.0,,5745.389999999999,0.9500000000000001,1.02,232.1,4.510000000000001,1.9681688,Transit
EPIC 201615463 c,K2-166,3.80464,,1.22,0.109,,,,,,,,1.07,476.882,,2.2823788,Transit
EPIC 201754305 d,K2-16,2.71578,,1.03,0.092,,,,,,,,0.67,334.967,,4.5574311,Transit
EPIC 201757695.02,EPIC 201757695,2.0478,0.0296,0.908,0.081,,,0.0,,,4520.0,0.66,0.73,,4.66,4.6164303,Transit
EPIC 201833600 c,K2-50,3.96158,,1.24,0.1105,,,,,,,0.63,0.61,257.443,,5.988289,Transit
EPIC 201841433 b,EPIC 201841433,4.1694233333333335,0.035,1.1833333333333333,0.10566666666666667,,,,,,5053.0,0.63,0.8,436.488,4.59,6.134814600000001,Transit
EPIC 205950854 c,K2-168,8.049707333333332,,1.37,0.12233333333333334,,,,961.0,,5502.7,0.865,0.895,243.93500000000003,,-16.3418863,Transit
EPIC 206024342 b,EPIC 206024342,4.507365,,1.5699999999999998,0.14,,,,,,,0.82,0.93,369.888,,-14.1218019,Transit
EPIC 206024342 c,EPIC 206024342,0.9116662333333334,,1.3033333333333335,0.11599999999999999,,,,,,5686.0,0.9533333333333333,,369.888,4.5,-14.1218019,Transit
EPIC 206024342 d,EPIC 206024342,14.642393,,3.015,0.26975,,,,,,5936.666666666667,1.0899999999999999,,369.888,4.35,-14.1218019,Transit
EPIC 206032309 b,EPIC 206032309,2.87814,,1.01,0.09,,,,,,,,0.22,161.365,,-13.9011223,Transit
EPIC 206042996 b,EPIC 206042996,5.29808,,2.2133333333333334,0.19766666666666666,,,,,,4114.0,0.585,0.56,451.769,4.8,-13.610147500000002,Transit
EPIC 206042996 c,EPIC 206042996,0.35489686,,1.325,0.118,,,,,,4003.5,0.5349999999999999,,451.769,4.8,-13.6101475,Transit
