planet_name,host_star_name,orbital_period_day,orbit_semi_major_axis_au,planet_rad_earth_rad,planet_rad_jup_rad,planet_mass_earth_mass,planet_mass_jup_mass,Eccentricity,planet_equil_temp_k,spectral_type,stellar_effective_temp_k,stellar_rad_solar_rad,stellar_mass_solar_mass,distance_parsec,stellar_surf_grav,declination_deg,discovery_method
Kepler-1692 b,Kepler-1692,5.959606155714286,0.06368,1.0170000000000001,0.099,,,0.0,886.4,,5342.714285714285,0.8742857142857143,0.9428571428571428,591.019,4.532857142857143,47.0537092,Transit
Kepler-1693 b,Kepler-1693,12.099951132857143,0.10132000000000001,1.1898333333333333,0.115,,,0.0,743.4,,5596.24,0.8971428571428571,0.9471428571428572,760.0649999999999,4.514285714285714,48.1857799,Transit
Kepler-1693 c,Kepler-1693,5.363736238571429,0.05896,0.9778333333333333,0.087,,,0.0,975.4,,5613.477142857142,0.9285714285714286,0.9457142857142856,760.0649999999999,4.485714285714286,48.1857799,Transit
Kepler-1694 b,Kepler-1694,3.895239912857143,0.04354,0.975,0.105,,,0.0,869.0,,4982.857142857143,0.7042857142857143,0.7514285714285714,513.329,4.62,40.241023,Transit
Kepler-1695 b,Kepler-1695,4.732916824285715,0.05294,1.0431666666666668,0.1,,,0.0,956.2,,5556.339999999999,0.8528571428571429,0.9014285714285714,791.175,4.5371428571428565,46.4134015,Transit
Kepler-1696 b,Kepler-1696,65.94110095714287,0.324475,2.438,0.251,,,0.0,454.0,,5866.285714285715,1.0628571428571427,1.0371428571428571,1506.36,4.404285714285715,42.0233639,Transit
Kepler-1697 b,Kepler-1697,33.497378180000005,0.2008,2.1239999999999997,0.112,,,0.0,630.0,,4822.37,1.2957142857142858,0.87,247.771,4.214285714285714,43.4713782,Transit
Kepler-1698 b,Kepler-1698,1.2106945671428573,0.02,108.84459999999999,0.096,,,0.0,1354.75,,4999.441428571428,0.7471428571428572,0.7685714285714286,222.345,4.577142857142857,39.257746899999994,Transit
Kepler-1699 b,Kepler-1699,3.49079355,0.041725,1.4234,0.14,,,0.0,1012.25,,5537.37,0.72,0.795,818.759,4.62,48.9171579,Transit
Kepler-17 b,Kepler-17,1.4857109558333335,0.025945,14.696100000000001,1.3072,769.1374333333333,2.42,0.004428571428571428,1592.5714285714287,,5720.846153846154,1.016923076923077,1.0516666666666667,720.753,4.444545454545454,47.8149865,Transit
Kepler-170 b,Kepler-170,7.930619980909091,0.08,3.055,0.27175,82.6,0.26,0.0,886.8,,5601.727272727273,1.0141666666666667,1.041,738.657,4.441000000000001,41.6296562,Transit
Kepler-170 c,Kepler-170,16.665909567272728,0.13115000000000002,2.8355,0.24866666666666667,,,0.0,692.2,,5601.727272727273,1.0141666666666667,1.041,738.657,4.441000000000001,41.6296562,Transit
Kepler-1700 b,Kepler-1700,234.24222365714286,0.790675,3.1462,0.259,,,0.0,333.5,,6114.857142857143,1.147142857142857,1.1657142857142857,717.597,4.385714285714286,45.3537626,Transit
Kepler-1701 b,Kepler-1701,169.1340680142857,0.566875,2.0804,0.198,,,0.0,276.75,,5249.857142857143,0.8085714285714286,0.8585714285714285,584.142,4.557142857142857,41.8892986,Transit
Kepler-1702 b,Kepler-1702,18.501073116666667,0.12795,1.5804,0.143,,,0.0,556.5,,5192.833333333333,0.735,0.8333333333333334,857.14,4.623333333333334,44.5674794,Transit
Kepler-1704 b,Kepler-1704,911.1048946200001,1.87805,10.99225,1.066,1322.16617,4.16,0.23,239.5,,5747.604,1.61,1.1039999999999999,835.4550000000002,4.068,51.1442437,Transit
Kepler-1705 b,Kepler-1705,9.023358550000001,0.08,1.39,0.181,4.47,0.01406,0.011000000000000001,789.0,,6056.0,1.0225,1.0225,1633.49,4.45,44.3121639,Transit
Kepler-1705 c,Kepler-1705,11.28,,2.05,0.183,5.42,0.01705,0.028,,,6312.0,1.26,1.14,1633.49,4.3,44.3121639,Transit
Kepler-1708 b,Kepler-1708,737.1131,1.64,9.96,0.889,1462.01067,4.6,0.4,,,6157.0,1.12,1.09,1666.69,4.37,43.6248197,Transit
Kepler-1709 b,Kepler-1709,65.70457765375,0.3243,2.822333333333333,0.279,,,0.0,460.6,,5902.9775,1.03875,1.0425,273.946,4.4225,43.7883708,Transit
Kepler-171 b,Kepler-171,4.166961768,0.049416666666666664,2.574125,0.24566666666666667,,,0.0,1027.4,,5608.545454545455,0.9209090909090908,0.9500000000000001,863.855,4.496,41.7555958,Transit
Kepler-171 c,Kepler-171,11.463474677,0.09675,2.8375,0.267,,,0.0,734.4,,5608.545454545455,0.9209090909090908,0.9500000000000001,863.855,4.496,41.7555958,Transit
Kepler-171 d,Kepler-171,39.601175424000004,0.22106666666666666,2.01675,0.19233333333333333,,,0.0,485.2,,5608.545454545455,0.9209090909090908,0.9500000000000001,863.855,4.496,41.7555958,Transit
Kepler-1710 b,Kepler-1710,14.910942463333335,0.11612816666666666,2.7105714285714284,0.258,3.49494,0.011,0.0,685.0,,5616.75,0.89375,0.9455555555555555,305.193,4.51375,37.7514726,Transit
Kepler-1711 b,Kepler-1711,21.060717902500002,0.14708000000000002,1.8938333333333333,0.172,,,0.0,680.4,,5741.4400000000005,1.06375,0.955,590.268,4.37,42.2370289,Transit
Kepler-1712 b,Kepler-1712,13.81504535,0.09032,2.017333333333333,0.204,,,0.0,391.8,,3788.375,0.52,0.53,156.264,4.73125,50.1466922,Transit
Kepler-1713 b,Kepler-1713,18.011611634999998,0.14682,1.7111666666666665,0.153,,,0.0,881.0,,6422.075,1.42875,1.2875,295.293,4.23875,43.3783894,Transit
Kepler-1714 b,Kepler-1714,10.2753260925,0.10504,3.155666666666667,0.291,,,0.0,1206.2,,6135.805,2.0975,1.3824999999999998,409.46,3.93375,46.2266878,Transit
Kepler-1715 b,Kepler-1715,35.59715928875,0.22054,3.3249999999999997,0.369,,,0.0,625.6,,6180.4575,1.23625,1.12,522.605,4.31125,41.6029048,Transit
Kepler-1716 b,Kepler-1716,35.58358687375,0.18722,2.2491666666666665,0.216,,,0.0,401.8,,4803.365,0.6849999999999999,0.7212500000000001,195.439,4.623749999999999,43.3330644,Transit
Kepler-1717 b,Kepler-1717,30.6528837225,0.20854,2.5481666666666665,0.267,,,0.0,768.8,,6613.8475,1.47,1.29375,1008.79,4.2162500000000005,49.56216,Transit
Kepler-1718 b,Kepler-1718,135.1881645,0.48032,2.484833333333333,0.229,,,0.0,355.6,,5748.8099999999995,0.9450000000000001,0.8725,375.522,4.42625,42.9094618,Transit
Kepler-1719 b,Kepler-1719,6.14953316375,0.06752,3.438333333333333,0.352,,,0.0,1272.4,,5705.9075,1.76375,1.06875,905.406,3.9712500000000004,38.9367566,Transit
Kepler-172 b,Kepler-172,2.940304163,0.039066666666666666,2.343,0.215,,,0.0,1250.2,,5531.0,1.0445454545454547,0.9288888888888889,828.5920000000001,4.375,41.821839,Transit
Kepler-172 c,Kepler-172,6.388999468,0.0657,2.570875,0.24166666666666667,,,0.0,965.2,,5531.0,1.0445454545454547,0.9288888888888889,828.5920000000001,4.375,41.821839,Transit
Kepler-172 d,Kepler-172,14.627030913999999,0.11405,2.357,0.215,,,0.0,732.8,,5531.0,1.0445454545454547,0.9288888888888889,828.5920000000001,4.375,41.821839,Transit
Kepler-172 e,Kepler-172,35.11854783333334,0.2044,2.750875,0.253,,,0.0,547.4,,5541.2,1.04,0.92625,828.592,4.378888888888889,41.821839,Transit
Kepler-1720 b,Kepler-1720,12.706418880000001,0.10404,3.112666666666667,0.287,,,0.0,697.8,,5514.625,0.82625,0.93125,629.445,4.569999999999999,47.1718557,Transit
Kepler-1721 b,Kepler-1721,4.59238966875,0.05178000000000001,2.6031666666666666,0.278,,,0.0,920.8,,5305.25,0.7887500000000001,0.88,641.374,4.5875,45.2256548,Transit
Kepler-1722 b,Kepler-1722,9.178565915,0.08188,2.3928333333333334,0.256,,,0.0,756.4,,5478.75,0.8325,0.89,772.283,4.54875,41.2611985,Transit
Kepler-1723 b,Kepler-1723,39.75265676625,0.22612000000000002,2.775,0.257,,,0.0,569.6,,5972.4525,1.03375,0.9824999999999999,811.278,4.40125,46.8214022,Transit
Kepler-1724 b,Kepler-1724,6.45443943375,0.06844,2.561166666666667,0.253,,,0.0,1001.2,,6001.375,0.97875,1.02625,1060.77,4.46875,47.9214736,Transit
Kepler-1725 b,Kepler-1725,16.7198641275,0.13308,2.5288333333333335,0.251,,,0.0,759.2,,6101.875,1.0725,1.12625,558.652,4.42875,40.1946345,Transit
Kepler-1726 b,Kepler-1726,18.396290793749998,0.12942,2.5165,0.224,,,0.0,620.2,,5395.25,0.8300000000000001,0.8725,390.552,4.54125,45.7197342,Transit
Kepler-1727 b,Kepler-1727,9.029304855000001,0.07948000000000001,2.7505,0.283,,,0.0,756.8,,5334.0675,0.8374999999999999,0.8412499999999999,894.187,4.52125,38.7282722,Transit
Kepler-1728 b,Kepler-1728,4.78300284875,0.0528,2.7225,0.264,,,0.0,881.6,,5120.625,0.80375,0.8575,651.783,4.5600000000000005,39.0607801,Transit
Kepler-1729 b,Kepler-1729,4.22096618875,0.0423,2.9273333333333333,0.347,,,0.0,617.2,,4059.25,0.595,0.5925,576.181,4.67875,42.6261145,Transit
Kepler-173 b,Kepler-173,4.263746713333333,0.0484,1.374,0.12766666666666668,,,0.0,1189.6,,5940.11,1.0230000000000001,0.9075,833.165,4.376666666666667,41.8840952,Transit
Kepler-173 c,Kepler-173,8.005788847000002,0.074,2.5460000000000003,0.2373333333333333,,,0.0,963.4,,5911.831818181819,1.0336363636363635,0.9177777777777778,833.1649999999998,4.371,41.8840952,Transit
Kepler-1730 b,Kepler-1730,13.810167997499999,0.11288000000000001,4.649166666666667,0.4,,,0.0,830.4,,5851.75,1.1412499999999999,1.0,1427.08,4.325,43.7030386,Transit
Kepler-1731 b,Kepler-1731,21.761293455714284,0.13735999999999998,2.6671666666666667,0.262,,,0.0,494.6,,4902.2242857142855,0.7128571428571429,0.7485714285714286,169.948,4.604285714285715,36.7434302,Transit
Kepler-1732 b,Kepler-1732,32.312278775,0.2012,3.4298333333333333,0.366,,,0.0,604.2,,5911.5575,1.19875,1.03875,1289.41,4.3125,37.5807686,Transit
Kepler-1733 b,Kepler-1733,9.22960541142857,0.09002,2.6193333333333335,0.324,,,0.0,976.0,,6344.958571428571,1.1542857142857144,1.1685714285714286,2080.51,4.382857142857143,37.8592447,Transit
Kepler-1734 b,Kepler-1734,6.79685301875,0.07132000000000001,2.2948333333333335,0.276,,,0.0,983.2,,6022.0425,1.0074999999999998,1.0575,1482.83,4.46125,41.4517316,Transit
Kepler-1735 b,Kepler-1735,7.717926031428571,0.0624,0.9856666666666666,0.107,,,0.0,505.4,,3961.0,0.5242857142857142,0.5428571428571429,245.30300000000003,4.735714285714286,47.1882005,Transit
Kepler-1736 b,Kepler-1736,37.81021805625,0.22004,2.6111666666666666,0.346,,,0.0,566.6,,6016.515,1.125,1.005,1430.0,4.35375,38.2622374,Transit
Kepler-1737 b,Kepler-1737,64.6173060675,0.294,5.204166666666667,0.481,,,0.0,375.4,,5024.833333333333,0.8516666666666667,0.8116666666666666,,4.489999999999999,47.486417,Transit
Kepler-1738 b,Kepler-1738,7.674671642857143,0.07788,2.5191666666666666,0.252,,,0.0,952.4,,6008.285714285715,0.9957142857142857,1.0671428571428572,1302.8700000000001,4.468571428571428,47.4388098,Transit
Kepler-1739 b,Kepler-1739,7.3437235337499995,0.07042,2.011833333333333,0.217,,,0.0,847.8,,5741.5,0.805,0.9075,783.666,4.5825,47.6788626,Transit
Kepler-174 b,Kepler-174,13.981777748999999,0.09646666666666666,2.0248749999999998,0.19199999999999998,,,0.0,516.4,,4717.090909090909,0.67,0.6633333333333333,384.757,4.618,43.8320052,Transit
Kepler-174 c,Kepler-174,44.000426160909086,0.20695,1.534,0.14466666666666667,,,0.0,352.4,,4717.666666666667,0.6783333333333333,0.6729999999999999,384.757,4.61090909090909,43.8320052,Transit
Kepler-174 d,Kepler-174,247.35374122727274,0.6545500000000001,2.2415000000000003,0.21166666666666667,,,0.0,197.8,,4717.666666666667,0.6783333333333333,0.6729999999999999,384.757,4.61090909090909,43.8320052,Transit
Kepler-1740 b,Kepler-1740,8.1724298875,0.08066,3.4771666666666667,0.296,,,0.0,883.4,,5819.645,0.9325,1.02875,1061.77,4.51625,38.9224548,Transit
Kepler-1741 b,Kepler-1741,2.7575852928571427,0.030180000000000002,1.1671666666666667,0.114,,,0.0,651.0,,3763.73,0.4685714285714286,0.49571428571428566,270.739,4.79,39.120939,Transit
Kepler-1742 b,Kepler-1742,49.478095095,0.25892,1.9846666666666666,0.194,,,0.0,462.4,,5723.625,0.85625,0.9562499999999999,669.573,4.5525,44.9924315,Transit
Kepler-1743 b,Kepler-1743,7.64969158,0.08168,1.6398333333333335,0.143,,,0.0,1222.8,,5729.9675,1.915,1.185,538.807,3.9475,48.1262575,Transit
Kepler-1744 b,Kepler-1744,37.10104729875,0.21184000000000003,3.453,0.336,,,0.0,528.4,,5862.135,0.88125,0.9375,1091.63,4.5200000000000005,42.4624633,Transit
Kepler-1745 b,Kepler-1745,3.016178805714286,0.04138,1.7815,0.172,,,0.0,1331.8,,5848.102857142857,1.1228571428571428,1.0242857142857142,996.1050000000001,4.355714285714286,42.8223582,Transit
Kepler-1746 b,Kepler-1746,321.21261435714285,0.90668,6.357499999999999,0.797,,,0.0,282.8,,6060.284285714285,1.1357142857142857,1.0214285714285716,979.541,4.351428571428571,42.2613874,Transit
Kepler-1747 b,Kepler-1747,6.2303173450000005,0.0654,3.9158333333333335,0.381,,,0.0,864.2,,5387.0,0.8775,0.94,1321.38,4.52625,45.258082,Transit
Kepler-1748 b,Kepler-1748,5.8234935100000005,0.062,2.8571666666666666,0.242,,,0.0,948.6,,5645.5,0.84375,0.93625,1083.28,4.555,45.7390789,Transit
Kepler-1749 b,Kepler-1749,14.534075115,0.0972,1.3938333333333333,0.144,,,0.0,427.6,,4078.33,0.57375,0.595,268.2,4.6937500000000005,45.5645196,Transit
Kepler-175 b,Kepler-175,11.903527184000001,0.10463333333333334,2.756625,0.26266666666666666,,,0.0,822.0,,5932.818181818182,1.1045454545454545,1.06,1312.34,4.392,43.876116,Transit
Kepler-175 c,Kepler-175,34.035145534,0.21093333333333333,3.143125,0.30133333333333334,,,0.0,579.6,,5932.818181818182,1.1045454545454545,1.06,1312.34,4.392,43.876116,Transit
Kepler-1750 b,Kepler-1750,205.9127246625,0.65944,4.995666666666667,0.536,,,0.0,295.8,,5648.75,0.98625,0.92625,1497.33,4.42375,48.5110714,Transit
Kepler-1751 b,Kepler-1751,7.017394482857143,0.07156,1.6506666666666667,0.163,,,0.0,985.0,,6008.285714285715,0.9871428571428572,0.9871428571428572,1291.47,4.451428571428571,49.6923412,Transit
Kepler-1752 b,Kepler-1752,56.35955552625,0.27043999999999996,4.9435,0.405,,,0.0,419.2,,5388.5,0.80875,0.8412499999999999,962.888,4.550000000000001,51.2227435,Transit
Kepler-1753 b,Kepler-1753,16.0045724125,0.11732000000000001,2.2178333333333335,0.199,,,0.0,582.0,,5129.25,0.75125,0.83875,707.688,4.615,46.6058744,Transit
Kepler-1754 b,Kepler-1754,8.19593174875,0.07204,2.23,0.218,,,0.0,669.4,,4660.0,0.76375,0.7324999999999999,718.945,4.5424999999999995,50.0771838,Transit
Kepler-1755 b,Kepler-1755,24.8111917925,0.16744,4.856166666666667,0.528,,,0.0,633.8,,6124.25,0.9925,1.05875,982.383,4.475,40.1385777,Transit
Kepler-1756 b,Kepler-1756,2.3557524957142855,0.03136,1.3353333333333335,0.131,,,0.0,1076.2,,4941.166666666667,0.7733333333333334,0.75,,4.538333333333333,40.7208898,Transit
Kepler-1757 b,Kepler-1757,19.6564533725,0.13355999999999998,2.7445,0.263,,,0.0,549.0,,5251.125,0.76,0.8374999999999999,807.308,4.59625,46.9418957,Transit
Kepler-1758 b,Kepler-1758,9.97724904142857,0.08978,1.8218333333333334,0.229,,,0.0,841.4,,5763.571428571428,1.182857142857143,0.9942857142857143,1588.41,4.3342857142857145,39.9213378,Transit
Kepler-1759 b,Kepler-1759,3.720210795714286,0.04272,0.9873333333333334,0.081,,,0.0,944.8,,4990.285714285715,0.7785714285714286,0.7614285714285715,385.348,4.541428571428571,48.5593334,Transit
Kepler-176 b,Kepler-176,5.433112929,0.056549999999999996,1.44775,0.129,,,0.0,884.0,,5144.545454545455,0.84,0.8266666666666667,527.321,4.505,43.8532104,Transit
Kepler-176 c,Kepler-176,12.759422813,0.09999999999999999,2.5646666666666667,0.227,23.0,0.072,0.0,664.8,,5154.3,0.8454545454545456,0.8255555555555555,527.321,4.502222222222222,43.8532104,Transit
Kepler-176 d,Kepler-176,25.752367529999997,0.15966666666666665,2.6177777777777775,0.2205,15.2,0.048,0.0,525.8,,5154.3,0.8454545454545456,0.8255555555555555,527.321,4.502222222222222,43.8532104,Transit
Kepler-176 e,Kepler-176,51.165771580000005,0.25206666666666666,1.4984,0.1295,,,0.0,418.6666666666667,,5130.857142857143,0.8371428571428571,0.8333333333333334,527.321,4.508333333333334,43.8532104,Transit
Kepler-1760 b,Kepler-1760,38.326080565,0.21642,1.9366666666666668,0.204,,,0.0,468.6,,5355.5,0.855,0.9049999999999999,,4.53,48.8251452,Transit
Kepler-1761 b,Kepler-1761,4.043548312857142,0.03972,1.1601666666666668,0.124,,,0.0,597.2,,3830.5714285714284,0.5157142857142857,0.5328571428571428,221.186,4.741428571428571,49.1426325,Transit
Kepler-1762 b,Kepler-1762,29.5390339225,0.20368,2.6983333333333337,0.246,,,0.0,722.6,,6489.75,1.26,1.26625,1663.74,4.3425,39.7855117,Transit
Kepler-1763 b,Kepler-1763,1.480285675714286,0.025759999999999998,1.0261666666666667,0.102,,,0.0,1818.8,,5908.567142857143,1.2614285714285713,1.0471428571428572,756.486,4.255714285714285,40.362886100000004,Transit
Kepler-1764 b,Kepler-1764,70.467819705,0.35164,3.720833333333333,0.406,,,0.0,511.8,,6364.505,1.2125,1.15875,1542.48,4.34125,41.3938374,Transit
Kepler-1765 b,Kepler-1765,10.418884103749999,0.09115999999999999,2.8208333333333333,0.223,,,0.0,853.4,,5678.625,1.0137500000000002,0.9562499999999999,764.456,4.4037500000000005,42.9574314,Transit
Kepler-1766 b,Kepler-1766,105.0142570375,0.4248,2.019833333333333,0.203,,,0.0,408.0,,5841.465,1.0975000000000001,0.9550000000000001,501.229,4.335,46.6752351,Transit
Kepler-1767 b,Kepler-1767,59.659368785,0.27726,2.983833333333333,0.269,,,0.0,384.0,,5287.195,0.7374999999999999,0.83375,820.506,4.62125,46.9896696,Transit
Kepler-1768 b,Kepler-1768,15.13589683375,0.12536,2.4938333333333333,0.199,,,0.0,887.4,,6059.25,1.38625,1.1775,632.766,4.2375,44.7718851,Transit
Kepler-1769 b,Kepler-1769,89.19342991875,0.3986,3.720833333333333,0.398,,,0.0,471.4,,6199.625,1.1724999999999999,1.08625,438.412,4.3375,43.4611633,Transit
